,Unnamed: 0,Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
66,66,67,5.6,3.0,4.5,1.5,Iris-versicolor
67,67,68,5.8,2.7,4.1,1.0,Iris-versicolor
68,68,69,6.2,2.2,4.5,1.5,Iris-versicolor
69,69,70,5.6,2.5,3.9,1.1,Iris-versicolor
70,70,71,5.9,3.2,4.8,1.8,Iris-versicolor
71,71,72,6.1,2.8,4.0,1.3,Iris-versicolor
72,72,73,6.3,2.5,4.9,1.5,Iris-versicolor
73,73,74,6.1,2.8,4.7,1.2,Iris-versicolor
74,74,75,6.4,2.9,4.3,1.3,Iris-versicolor
75,75,76,6.6,3.0,4.4,1.4,Iris-versicolor
76,76,77,6.8,2.8,4.8,1.4,Iris-versicolor
77,77,78,6.7,3.0,5.0,1.7,Iris-versicolor
78,78,79,6.0,2.9,4.5,1.5,Iris-versicolor
79,79,80,5.7,2.6,3.5,1.0,Iris-versicolor
80,80,81,5.5,2.4,3.8,1.1,Iris-versicolor
81,81,82,5.5,2.4,3.7,1.0,Iris-versicolor
82,82,83,5.8,2.7,3.9,1.2,Iris-versicolor
83,83,84,6.0,2.7,5.1,1.6,Iris-versicolor
84,84,85,5.4,3.0,4.5,1.5,Iris-versicolor
85,85,86,6.0,3.4,4.5,1.6,Iris-versicolor
86,86,87,6.7,3.1,4.7,1.5,Iris-versicolor
87,87,88,6.3,2.3,4.4,1.3,Iris-versicolor
88,88,89,5.6,3.0,4.1,1.3,Iris-versicolor
89,89,90,5.5,2.5,4.0,1.3,Iris-versicolor
90,90,91,5.5,2.6,4.4,1.2,Iris-versicolor
91,91,92,6.1,3.0,4.6,1.4,Iris-versicolor
92,92,93,5.8,2.6,4.0,1.2,Iris-versicolor
93,93,94,5.0,2.3,3.3,1.0,Iris-versicolor
94,94,95,5.6,2.7,4.2,1.3,Iris-versicolor
95,95,96,5.7,3.0,4.2,1.2,Iris-versicolor
96,96,97,5.7,2.9,4.2,1.3,Iris-versicolor
97,97,98,6.2,2.9,4.3,1.3,Iris-versicolor
98,98,99,5.1,2.5,3.0,1.1,Iris-versicolor
99,99,100,5.7,2.8,4.1,1.3,Iris-versicolor
100,100,101,6.3,3.3,6.0,2.5,Iris-virginica
101,101,102,5.8,2.7,5.1,1.9,Iris-virginica
102,102,103,7.1,3.0,5.9,2.1,Iris-virginica
103,103,104,6.3,2.9,5.6,1.8,Iris-virginica
104,104,105,6.5,3.0,5.8,2.2,Iris-virginica
105,105,106,7.6,3.0,6.6,2.1,Iris-virginica
106,106,107,4.9,2.5,4.5,1.7,Iris-virginica
107,107,108,7.3,2.9,6.3,1.8,Iris-virginica
108,108,109,6.7,2.5,5.8,1.8,Iris-virginica
109,109,110,7.2,3.6,6.1,2.5,Iris-virginica
110,110,111,6.5,3.2,5.1,2.0,Iris-virginica
111,111,112,6.4,2.7,5.3,1.9,Iris-virginica
112,112,113,6.8,3.0,5.5,2.1,Iris-virginica
113,113,114,5.7,2.5,5.0,2.0,Iris-virginica
114,114,115,5.8,2.8,5.1,2.4,Iris-virginica
115,115,116,6.4,3.2,5.3,2.3,Iris-virginica
116,116,117,6.5,3.0,5.5,1.8,Iris-virginica
117,117,118,7.7,3.8,6.7,2.2,Iris-virginica
118,118,119,7.7,2.6,6.9,2.3,Iris-virginica
119,119,120,6.0,2.2,5.0,1.5,Iris-virginica
120,120,121,6.9,3.2,5.7,2.3,Iris-virginica
121,121,122,5.6,2.8,4.9,2.0,Iris-virginica
122,122,123,7.7,2.8,6.7,2.0,Iris-virginica
123,123,124,6.3,2.7,4.9,1.8,Iris-virginica
124,124,125,6.7,3.3,5.7,2.1,Iris-virginica
125,125,126,7.2,3.2,6.0,1.8,Iris-virginica
126,126,127,6.2,2.8,4.8,1.8,Iris-virginica
127,127,128,6.1,3.0,4.9,1.8,Iris-virginica
128,128,129,6.4,2.8,5.6,2.1,Iris-virginica
129,129,130,7.2,3.0,5.8,1.6,Iris-virginica
130,130,131,7.4,2.8,6.1,1.9,Iris-virginica
131,131,132,7.9,3.8,6.4,2.0,Iris-virginica
132,132,133,6.4,2.8,5.6,2.2,Iris-virginica
133,133,134,6.3,2.8,5.1,1.5,Iris-virginica
134,134,135,6.1,2.6,5.6,1.4,Iris-virginica
135,135,136,7.7,3.0,6.1,2.3,Iris-virginica
136,136,137,6.3,3.4,5.6,2.4,Iris-virginica
137,137,138,6.4,3.1,5.5,1.8,Iris-virginica
138,138,139,6.0,3.0,4.8,1.8,Iris-virginica
139,139,140,6.9,3.1,5.4,2.1,Iris-virginica
140,140,141,6.7,3.1,5.6,2.4,Iris-virginica
141,141,142,6.9,3.1,5.1,2.3,Iris-virginica
142,142,143,5.8,2.7,5.1,1.9,Iris-virginica
143,143,144,6.8,3.2,5.9,2.3,Iris-virginica
144,144,145,6.7,3.3,5.7,2.5,Iris-virginica
145,145,146,6.7,3.0,5.2,2.3,Iris-virginica
146,146,147,6.3,2.5,5.0,1.9,Iris-virginica
147,147,148,6.5,3.0,5.2,2.0,Iris-virginica
148,148,149,6.2,3.4,5.4,2.3,Iris-virginica
149,149,150,5.9,3.0,5.1,1.8,Iris-virginica
