,Passengerid,Age,Fare,Sex,sibsp,Parch,Pclass,Embarked,2urvived
51,52,21.0,7.8,0,0,0,3,2.0,0
52,53,49.0,76.7292,1,1,0,1,0.0,1
53,54,29.0,26.0,1,1,0,2,2.0,1
54,55,65.0,61.9792,0,0,1,1,0.0,0
55,56,28.0,35.5,0,0,0,1,2.0,1
56,57,21.0,10.5,1,0,0,2,2.0,1
57,58,28.5,7.2292,0,0,0,3,0.0,0
58,59,5.0,27.75,1,1,2,2,2.0,1
59,60,11.0,46.9,0,5,2,3,2.0,0
60,61,22.0,7.2292,0,0,0,3,0.0,0
62,63,45.0,83.475,0,1,0,1,2.0,0
63,64,4.0,27.9,0,3,2,3,2.0,0
64,65,28.0,27.7208,0,0,0,1,0.0,0
65,66,28.0,15.2458,0,1,1,3,0.0,1
66,67,29.0,10.5,1,0,0,2,2.0,1
67,68,19.0,8.1583,0,0,0,3,2.0,0
68,69,17.0,7.925,1,4,2,3,2.0,1
69,70,26.0,8.6625,0,2,0,3,2.0,0
70,71,32.0,10.5,0,0,0,2,2.0,0
71,72,16.0,46.9,1,5,2,3,2.0,0
72,73,21.0,73.5,0,0,0,2,2.0,0
73,74,26.0,14.4542,0,1,0,3,0.0,0
74,75,32.0,56.4958,0,0,0,3,2.0,1
75,76,25.0,7.65,0,0,0,3,2.0,0
76,77,28.0,7.8958,0,0,0,3,2.0,0
77,78,28.0,8.05,0,0,0,3,2.0,0
78,79,0.83,29.0,0,0,2,2,2.0,1
79,80,30.0,12.475,1,0,0,3,2.0,1
80,81,22.0,9.0,0,0,0,3,2.0,0
81,82,29.0,9.5,0,0,0,3,2.0,1
82,83,28.0,7.7875,1,0,0,3,1.0,1
83,84,28.0,47.1,0,0,0,1,2.0,0
84,85,17.0,10.5,1,0,0,2,2.0,1
85,86,33.0,15.85,1,3,0,3,2.0,1
86,87,16.0,34.375,0,1,3,3,2.0,0
87,88,28.0,8.05,0,0,0,3,2.0,0
88,89,23.0,263.0,1,3,2,1,2.0,1
89,90,24.0,8.05,0,0,0,3,2.0,0
90,91,29.0,8.05,0,0,0,3,2.0,0
91,92,20.0,7.8542,0,0,0,3,2.0,0
92,93,46.0,61.175,0,1,0,1,2.0,0
93,94,26.0,20.575,0,1,2,3,2.0,0
94,95,59.0,7.25,0,0,0,3,2.0,0
95,96,28.0,8.05,0,0,0,3,2.0,0
96,97,71.0,34.6542,0,0,0,1,0.0,0
97,98,23.0,63.3583,0,0,1,1,0.0,1
98,99,34.0,23.0,1,0,1,2,2.0,1
99,100,34.0,26.0,0,1,0,2,2.0,0
100,101,28.0,7.8958,1,0,0,3,2.0,0
101,102,28.0,7.8958,0,0,0,3,2.0,0
102,103,21.0,77.2875,0,0,1,1,2.0,0
103,104,33.0,8.6542,0,0,0,3,2.0,0
104,105,37.0,7.925,0,2,0,3,2.0,0
105,106,28.0,7.8958,0,0,0,3,2.0,0
106,107,21.0,7.65,1,0,0,3,2.0,1
107,108,28.0,7.775,0,0,0,3,2.0,1
108,109,38.0,7.8958,0,0,0,3,2.0,0
109,110,28.0,24.15,1,1,0,3,1.0,1
110,111,47.0,52.0,0,0,0,1,2.0,0
111,112,14.5,14.4542,1,1,0,3,0.0,0
112,113,22.0,8.05,0,0,0,3,2.0,0
113,114,20.0,9.825,1,1,0,3,2.0,0
114,115,17.0,14.4583,1,0,0,3,0.0,0
115,116,21.0,7.925,0,0,0,3,2.0,0
116,117,70.5,7.75,0,0,0,3,1.0,0
117,118,29.0,21.0,0,1,0,2,2.0,0
118,119,24.0,247.5208,0,0,1,1,0.0,0
119,120,2.0,31.275,1,4,2,3,2.0,0
120,121,21.0,73.5,0,2,0,2,2.0,0
121,122,28.0,8.05,0,0,0,3,2.0,0
122,123,32.5,30.0708,0,1,0,2,0.0,0
123,124,32.5,13.0,1,0,0,2,2.0,1
124,125,54.0,77.2875,0,0,1,1,2.0,0
125,126,12.0,11.2417,0,1,0,3,0.0,1
126,127,28.0,7.75,0,0,0,3,1.0,0
127,128,24.0,7.1417,0,0,0,3,2.0,1
128,129,28.0,22.3583,1,1,1,3,0.0,1
129,130,45.0,6.975,0,0,0,3,2.0,0
130,131,33.0,7.8958,0,0,0,3,0.0,0
131,132,20.0,7.05,0,0,0,3,2.0,0
132,133,47.0,14.5,1,1,0,3,2.0,0
133,134,29.0,26.0,1,1,0,2,2.0,1
134,135,25.0,13.0,0,0,0,2,2.0,0
135,136,23.0,15.0458,0,0,0,2,0.0,0
136,137,19.0,26.2833,1,0,2,1,2.0,1
137,138,37.0,53.1,0,1,0,1,2.0,0
138,139,16.0,9.2167,0,0,0,3,2.0,0
139,140,24.0,79.2,0,0,0,1,0.0,0
140,141,28.0,15.2458,1,0,2,3,0.0,0
141,142,22.0,7.75,1,0,0,3,2.0,1
142,143,24.0,15.85,1,1,0,3,2.0,1
143,144,19.0,6.75,0,0,0,3,1.0,0
144,145,18.0,11.5,0,0,0,2,2.0,0
145,146,19.0,36.75,0,1,1,2,2.0,0
146,147,27.0,7.7958,0,0,0,3,2.0,1
147,148,9.0,34.375,1,2,2,3,2.0,0
148,149,36.5,26.0,0,0,2,2,2.0,0
149,150,42.0,13.0,0,0,0,2,2.0,0
150,151,51.0,12.525,0,0,0,2,2.0,0
151,152,22.0,66.6,1,1,0,1,2.0,1
152,153,55.5,8.05,0,0,0,3,2.0,0
153,154,40.5,14.5,0,0,2,3,2.0,0
154,155,28.0,7.3125,0,0,0,3,2.0,0
155,156,51.0,61.3792,0,0,1,1,0.0,0
156,157,16.0,7.7333,1,0,0,3,1.0,1
157,158,30.0,8.05,0,0,0,3,2.0,0
158,159,28.0,8.6625,0,0,0,3,2.0,0
159,160,28.0,69.55,0,8,2,3,2.0,0
160,161,44.0,16.1,0,0,1,3,2.0,0
161,162,40.0,15.75,1,0,0,2,2.0,1
162,163,26.0,7.775,0,0,0,3,2.0,0
163,164,17.0,8.6625,0,0,0,3,2.0,0
164,165,1.0,39.6875,0,4,1,3,2.0,0
165,166,9.0,20.525,0,0,2,3,2.0,1
166,167,28.0,55.0,1,0,1,1,2.0,1
167,168,45.0,27.9,1,1,4,3,2.0,0
168,169,28.0,25.925,0,0,0,1,2.0,0
169,170,28.0,56.4958,0,0,0,3,2.0,0
170,171,61.0,33.5,0,0,0,1,2.0,0
171,172,4.0,29.125,0,4,1,3,1.0,0
172,173,1.0,11.1333,1,1,1,3,2.0,1
173,174,21.0,7.925,0,0,0,3,2.0,0
174,175,56.0,30.6958,0,0,0,1,0.0,0
175,176,18.0,7.8542,0,1,1,3,2.0,0
176,177,28.0,25.4667,0,3,1,3,2.0,0
177,178,50.0,28.7125,1,0,0,1,0.0,0
178,179,30.0,13.0,0,0,0,2,2.0,0
179,180,36.0,0.0,0,0,0,3,2.0,0
180,181,28.0,69.55,1,8,2,3,2.0,0
181,182,28.0,15.05,0,0,0,2,0.0,0
182,183,9.0,31.3875,0,4,2,3,2.0,0
183,184,1.0,39.0,0,2,1,2,2.0,1
184,185,4.0,22.025,1,0,2,3,2.0,1
185,186,28.0,50.0,0,0,0,1,2.0,0
186,187,28.0,15.5,1,1,0,3,1.0,1
187,188,45.0,26.55,0,0,0,1,2.0,1
188,189,40.0,15.5,0,1,1,3,1.0,0
189,190,36.0,7.8958,0,0,0,3,2.0,0
190,191,32.0,13.0,1,0,0,2,2.0,1
191,192,19.0,13.0,0,0,0,2,2.0,0
192,193,19.0,7.8542,1,1,0,3,2.0,1
193,194,3.0,26.0,0,1,1,2,2.0,1
194,195,44.0,27.7208,1,0,0,1,0.0,1
195,196,58.0,146.5208,1,0,0,1,0.0,1
196,197,28.0,7.75,0,0,0,3,1.0,0
197,198,42.0,8.4042,0,0,1,3,2.0,0
198,199,28.0,7.75,1,0,0,3,1.0,1
199,200,24.0,13.0,1,0,0,2,2.0,0
200,201,28.0,9.5,0,0,0,3,2.0,0
201,202,28.0,69.55,0,8,2,3,2.0,0
202,203,34.0,6.4958,0,0,0,3,2.0,0
203,204,45.5,7.225,0,0,0,3,0.0,0
204,205,18.0,8.05,0,0,0,3,2.0,1
205,206,2.0,10.4625,1,0,1,3,2.0,0
206,207,32.0,15.85,0,1,0,3,2.0,0
207,208,26.0,18.7875,0,0,0,3,0.0,1
208,209,16.0,7.75,1,0,0,3,1.0,1
209,210,40.0,31.0,0,0,0,1,0.0,1
210,211,24.0,7.05,0,0,0,3,2.0,0
211,212,35.0,21.0,1,0,0,2,2.0,1
212,213,22.0,7.25,0,0,0,3,2.0,0
213,214,30.0,13.0,0,0,0,2,2.0,0
214,215,28.0,7.75,0,1,0,3,1.0,0
215,216,31.0,113.275,1,1,0,1,0.0,1
216,217,27.0,7.925,1,0,0,3,2.0,1
217,218,42.0,27.0,0,1,0,2,2.0,0
218,219,32.0,76.2917,1,0,0,1,0.0,1
219,220,30.0,10.5,0,0,0,2,2.0,0
220,221,16.0,8.05,0,0,0,3,2.0,1
221,222,27.0,13.0,0,0,0,2,2.0,0
222,223,51.0,8.05,0,0,0,3,2.0,0
223,224,28.0,7.8958,0,0,0,3,2.0,0
224,225,38.0,90.0,0,1,0,1,2.0,1
225,226,22.0,9.35,0,0,0,3,2.0,0
226,227,19.0,10.5,0,0,0,2,2.0,1
227,228,20.5,7.25,0,0,0,3,2.0,0
228,229,18.0,13.0,0,0,0,2,2.0,0
229,230,28.0,25.4667,1,3,1,3,2.0,0
230,231,35.0,83.475,1,1,0,1,2.0,1
231,232,29.0,7.775,0,0,0,3,2.0,0
232,233,59.0,13.5,0,0,0,2,2.0,0
233,234,5.0,31.3875,1,4,2,3,2.0,1
234,235,24.0,10.5,0,0,0,2,2.0,0
235,236,28.0,7.55,1,0,0,3,2.0,0
236,237,44.0,26.0,0,1,0,2,2.0,0
237,238,8.0,26.25,1,0,2,2,2.0,1
238,239,19.0,10.5,0,0,0,2,2.0,0
239,240,33.0,12.275,0,0,0,2,2.0,0
240,241,28.0,14.4542,1,1,0,3,0.0,0
241,242,28.0,15.5,1,1,0,3,1.0,1
242,243,29.0,10.5,0,0,0,2,2.0,0
243,244,22.0,7.125,0,0,0,3,2.0,0
244,245,30.0,7.225,0,0,0,3,0.0,0
245,246,44.0,90.0,0,2,0,1,1.0,0
246,247,25.0,7.775,1,0,0,3,2.0,0
247,248,24.0,14.5,1,0,2,2,2.0,1
248,249,37.0,52.5542,0,1,1,1,2.0,1
249,250,54.0,26.0,0,1,0,2,2.0,0
250,251,28.0,7.25,0,0,0,3,2.0,0
251,252,29.0,10.4625,1,1,1,3,2.0,0
252,253,62.0,26.55,0,0,0,1,2.0,0
253,254,30.0,16.1,0,1,0,3,2.0,0
254,255,41.0,20.2125,1,0,2,3,2.0,0
255,256,29.0,15.2458,1,0,2,3,0.0,1
256,257,28.0,79.2,1,0,0,1,0.0,1
257,258,30.0,86.5,1,0,0,1,2.0,1
258,259,35.0,512.3292,1,0,0,1,0.0,1
259,260,50.0,26.0,1,0,1,2,2.0,1
260,261,28.0,7.75,0,0,0,3,1.0,0
261,262,3.0,31.3875,0,4,2,3,2.0,1
262,263,52.0,79.65,0,1,1,1,2.0,0
263,264,40.0,0.0,0,0,0,1,2.0,0
264,265,28.0,7.75,1,0,0,3,1.0,0
265,266,36.0,10.5,0,0,0,2,2.0,0
266,267,16.0,39.6875,0,4,1,3,2.0,0
267,268,25.0,7.775,0,1,0,3,2.0,1
268,269,58.0,153.4625,1,0,1,1,2.0,1
269,270,35.0,135.6333,1,0,0,1,2.0,1
270,271,28.0,31.0,0,0,0,1,2.0,0
271,272,25.0,0.0,0,0,0,3,2.0,1
272,273,41.0,19.5,1,0,1,2,2.0,1
273,274,37.0,29.7,0,0,1,1,0.0,0
274,275,28.0,7.75,1,0,0,3,1.0,1
275,276,63.0,77.9583,1,1,0,1,2.0,1
276,277,45.0,7.75,1,0,0,3,2.0,0
277,278,28.0,0.0,0,0,0,2,2.0,0
278,279,7.0,29.125,0,4,1,3,1.0,0
279,280,35.0,20.25,1,1,1,3,2.0,1
280,281,65.0,7.75,0,0,0,3,1.0,0
281,282,28.0,7.8542,0,0,0,3,2.0,0
282,283,16.0,9.5,0,0,0,3,2.0,0
283,284,19.0,8.05,0,0,0,3,2.0,1
284,285,28.0,26.0,0,0,0,1,2.0,0
285,286,33.0,8.6625,0,0,0,3,0.0,0
286,287,30.0,9.5,0,0,0,3,2.0,1
287,288,22.0,7.8958,0,0,0,3,2.0,0
288,289,42.0,13.0,0,0,0,2,2.0,1
289,290,22.0,7.75,1,0,0,3,1.0,1
290,291,26.0,78.85,1,0,0,1,2.0,1
291,292,19.0,91.0792,1,1,0,1,0.0,1
292,293,36.0,12.875,0,0,0,2,0.0,0
293,294,24.0,8.85,1,0,0,3,2.0,0
294,295,24.0,7.8958,0,0,0,3,2.0,0
295,296,28.0,27.7208,0,0,0,1,0.0,0
296,297,23.5,7.2292,0,0,0,3,0.0,0
297,298,2.0,151.55,1,1,2,1,2.0,0
298,299,28.0,30.5,0,0,0,1,2.0,1
299,300,50.0,247.5208,1,0,1,1,0.0,1
300,301,28.0,7.75,1,0,0,3,1.0,1
301,302,28.0,23.25,0,2,0,3,1.0,1
302,303,19.0,0.0,0,0,0,3,2.0,0
303,304,28.0,12.35,1,0,0,2,1.0,1
304,305,28.0,8.05,0,0,0,3,2.0,0
305,306,0.92,151.55,0,1,2,1,2.0,1
306,307,28.0,110.8833,1,0,0,1,0.0,1
307,308,17.0,108.9,1,1,0,1,0.0,1
308,309,30.0,24.0,0,1,0,2,0.0,0
309,310,30.0,56.9292,1,0,0,1,0.0,1
310,311,24.0,83.1583,1,0,0,1,0.0,1
311,312,18.0,262.375,1,2,2,1,0.0,1
312,313,26.0,26.0,1,1,1,2,2.0,0
313,314,28.0,7.8958,0,0,0,3,2.0,0
314,315,43.0,26.25,0,1,1,2,2.0,0
315,316,26.0,7.8542,1,0,0,3,2.0,1
316,317,24.0,26.0,1,1,0,2,2.0,1
317,318,54.0,14.0,0,0,0,2,2.0,0
318,319,31.0,164.8667,1,0,2,1,2.0,1
319,320,40.0,134.5,1,1,1,1,0.0,1
320,321,22.0,7.25,0,0,0,3,2.0,0
321,322,27.0,7.8958,0,0,0,3,2.0,0
322,323,30.0,12.35,1,0,0,2,1.0,1
323,324,22.0,29.0,1,1,1,2,2.0,1
324,325,28.0,69.55,0,8,2,3,2.0,0
325,326,36.0,135.6333,1,0,0,1,0.0,1
326,327,61.0,6.2375,0,0,0,3,2.0,0
327,328,36.0,13.0,1,0,0,2,2.0,1
328,329,31.0,20.525,1,1,1,3,2.0,1
329,330,16.0,57.9792,1,0,1,1,0.0,1
330,331,28.0,23.25,1,2,0,3,1.0,1
331,332,45.5,28.5,0,0,0,1,2.0,0
332,333,38.0,153.4625,0,0,1,1,2.0,0
333,334,16.0,18.0,0,2,0,3,2.0,0
334,335,28.0,133.65,1,1,0,1,2.0,1
335,336,28.0,7.8958,0,0,0,3,2.0,0
336,337,29.0,66.6,0,1,0,1,2.0,0
337,338,41.0,134.5,1,0,0,1,0.0,1
338,339,45.0,8.05,0,0,0,3,2.0,1
339,340,45.0,35.5,0,0,0,1,2.0,0
340,341,2.0,26.0,0,1,1,2,2.0,1
341,342,24.0,263.0,1,3,2,1,2.0,1
342,343,28.0,13.0,0,0,0,2,2.0,0
343,344,25.0,13.0,0,0,0,2,2.0,0
344,345,36.0,13.0,0,0,0,2,2.0,0
345,346,24.0,13.0,1,0,0,2,2.0,1
346,347,40.0,13.0,1,0,0,2,2.0,1
347,348,28.0,16.1,1,1,0,3,2.0,1
348,349,3.0,15.9,0,1,1,3,2.0,1
349,350,42.0,8.6625,0,0,0,3,2.0,0
350,351,23.0,9.225,0,0,0,3,2.0,0
351,352,28.0,35.0,0,0,0,1,2.0,0
352,353,15.0,7.2292,0,1,1,3,0.0,0
353,354,25.0,17.8,0,1,0,3,2.0,0
354,355,28.0,7.225,0,0,0,3,0.0,0
355,356,28.0,9.5,0,0,0,3,2.0,0
356,357,22.0,55.0,1,0,1,1,2.0,1
357,358,38.0,13.0,1,0,0,2,2.0,0
358,359,28.0,7.8792,1,0,0,3,1.0,1
359,360,28.0,7.8792,1,0,0,3,1.0,1
360,361,40.0,27.9,0,1,4,3,2.0,0
361,362,29.0,27.7208,0,1,0,2,0.0,0
362,363,45.0,14.4542,1,0,1,3,0.0,0
363,364,35.0,7.05,0,0,0,3,2.0,0
364,365,28.0,15.5,0,1,0,3,1.0,0
365,366,30.0,7.25,0,0,0,3,2.0,0
366,367,60.0,75.25,1,1,0,1,0.0,1
367,368,28.0,7.2292,1,0,0,3,0.0,1
368,369,28.0,7.75,1,0,0,3,1.0,1
369,370,24.0,69.3,1,0,0,1,0.0,1
370,371,25.0,55.4417,0,1,0,1,0.0,1
371,372,18.0,6.4958,0,1,0,3,2.0,0
372,373,19.0,8.05,0,0,0,3,2.0,0
373,374,22.0,135.6333,0,0,0,1,0.0,0
374,375,3.0,21.075,1,3,1,3,2.0,0
375,376,28.0,82.1708,1,1,0,1,0.0,1
376,377,22.0,7.25,1,0,0,3,2.0,1
377,378,27.0,211.5,0,0,2,1,0.0,0
378,379,20.0,4.0125,0,0,0,3,0.0,0
379,380,19.0,7.775,0,0,0,3,2.0,0
380,381,42.0,227.525,1,0,0,1,0.0,1
381,382,1.0,15.7417,1,0,2,3,0.0,1
382,383,32.0,7.925,0,0,0,3,2.0,0
383,384,35.0,52.0,1,1,0,1,2.0,1
384,385,28.0,7.8958,0,0,0,3,2.0,0
385,386,18.0,73.5,0,0,0,2,2.0,0
386,387,1.0,46.9,0,5,2,3,2.0,0
387,388,36.0,13.0,1,0,0,2,2.0,1
388,389,28.0,7.7292,0,0,0,3,1.0,0
389,390,17.0,12.0,1,0,0,2,0.0,1
390,391,36.0,120.0,0,1,2,1,2.0,1
391,392,21.0,7.7958,0,0,0,3,2.0,1
392,393,28.0,7.925,0,2,0,3,2.0,0
393,394,23.0,113.275,1,1,0,1,0.0,1
394,395,24.0,16.7,1,0,2,3,2.0,1
395,396,22.0,7.7958,0,0,0,3,2.0,0
396,397,31.0,7.8542,1,0,0,3,2.0,0
397,398,46.0,26.0,0,0,0,2,2.0,0
398,399,23.0,10.5,0,0,0,2,2.0,0
399,400,28.0,12.65,1,0,0,2,2.0,1
400,401,39.0,7.925,0,0,0,3,2.0,1
401,402,26.0,8.05,0,0,0,3,2.0,0
402,403,21.0,9.825,1,1,0,3,2.0,0
403,404,28.0,15.85,0,1,0,3,2.0,0
404,405,20.0,8.6625,1,0,0,3,2.0,0
405,406,34.0,21.0,0,1,0,2,2.0,0
406,407,51.0,7.75,0,0,0,3,2.0,0
407,408,3.0,18.75,0,1,1,2,2.0,1
408,409,21.0,7.775,0,0,0,3,2.0,0
409,410,28.0,25.4667,1,3,1,3,2.0,0
410,411,28.0,7.8958,0,0,0,3,2.0,0
411,412,28.0,6.8583,0,0,0,3,1.0,0
412,413,33.0,90.0,1,1,0,1,1.0,1
413,414,28.0,0.0,0,0,0,2,2.0,0
414,415,44.0,7.925,0,0,0,3,2.0,1
415,416,28.0,8.05,1,0,0,3,2.0,0
416,417,34.0,32.5,1,1,1,2,2.0,1
417,418,18.0,13.0,1,0,2,2,2.0,1
418,419,30.0,13.0,0,0,0,2,2.0,0
419,420,10.0,24.15,1,0,2,3,2.0,0
420,421,28.0,7.8958,0,0,0,3,0.0,0
421,422,21.0,7.7333,0,0,0,3,1.0,0
422,423,29.0,7.875,0,0,0,3,2.0,0
423,424,28.0,14.4,1,1,1,3,2.0,0
424,425,18.0,20.2125,0,1,1,3,2.0,0
425,426,28.0,7.25,0,0,0,3,2.0,0
426,427,28.0,26.0,1,1,0,2,2.0,1
427,428,19.0,26.0,1,0,0,2,2.0,1
428,429,28.0,7.75,0,0,0,3,1.0,0
429,430,32.0,8.05,0,0,0,3,2.0,1
430,431,28.0,26.55,0,0,0,1,2.0,1
431,432,28.0,16.1,1,1,0,3,2.0,1
432,433,42.0,26.0,1,1,0,2,2.0,1
433,434,17.0,7.125,0,0,0,3,2.0,0
434,435,50.0,55.9,0,1,0,1,2.0,0
435,436,14.0,120.0,1,1,2,1,2.0,1
436,437,21.0,34.375,1,2,2,3,2.0,0
437,438,24.0,18.75,1,2,3,2,2.0,1
438,439,64.0,263.0,0,1,4,1,2.0,0
439,440,31.0,10.5,0,0,0,2,2.0,0
440,441,45.0,26.25,1,1,1,2,2.0,1
441,442,20.0,9.5,0,0,0,3,2.0,0
442,443,25.0,7.775,0,1,0,3,2.0,0
443,444,28.0,13.0,1,0,0,2,2.0,1
444,445,28.0,8.1125,0,0,0,3,2.0,1
445,446,4.0,81.8583,0,0,2,1,2.0,1
446,447,13.0,19.5,1,0,1,2,2.0,1
447,448,34.0,26.55,0,0,0,1,2.0,1
448,449,5.0,19.2583,1,2,1,3,0.0,1
449,450,52.0,30.5,0,0,0,1,2.0,1
450,451,36.0,27.75,0,1,2,2,2.0,0
451,452,28.0,19.9667,0,1,0,3,2.0,0
452,453,30.0,27.75,0,0,0,1,0.0,0
453,454,49.0,89.1042,0,1,0,1,0.0,1
454,455,28.0,8.05,0,0,0,3,2.0,0
455,456,29.0,7.8958,0,0,0,3,0.0,1
456,457,65.0,26.55,0,0,0,1,2.0,0
457,458,28.0,51.8625,1,1,0,1,2.0,1
458,459,50.0,10.5,1,0,0,2,2.0,1
459,460,28.0,7.75,0,0,0,3,1.0,0
460,461,48.0,26.55,0,0,0,1,2.0,1
461,462,34.0,8.05,0,0,0,3,2.0,0
462,463,47.0,38.5,0,0,0,1,2.0,0
463,464,48.0,13.0,0,0,0,2,2.0,0
464,465,28.0,8.05,0,0,0,3,2.0,0
465,466,38.0,7.05,0,0,0,3,2.0,0
466,467,28.0,0.0,0,0,0,2,2.0,0
467,468,56.0,26.55,0,0,0,1,2.0,0
468,469,28.0,7.725,0,0,0,3,1.0,0
469,470,0.75,19.2583,1,2,1,3,0.0,1
470,471,28.0,7.25,0,0,0,3,2.0,0
471,472,38.0,8.6625,0,0,0,3,2.0,0
472,473,33.0,27.75,1,1,2,2,2.0,1
473,474,23.0,13.7917,1,0,0,2,0.0,1
474,475,22.0,9.8375,1,0,0,3,2.0,0
475,476,28.0,52.0,0,0,0,1,2.0,0
476,477,34.0,21.0,0,1,0,2,2.0,0
477,478,29.0,7.0458,0,1,0,3,2.0,0
478,479,22.0,7.5208,0,0,0,3,2.0,0
479,480,2.0,12.2875,1,0,1,3,2.0,1
480,481,9.0,46.9,0,5,2,3,2.0,0
481,482,28.0,0.0,0,0,0,2,2.0,0
482,483,50.0,8.05,0,0,0,3,2.0,0
483,484,63.0,9.5875,1,0,0,3,2.0,1
484,485,25.0,91.0792,0,1,0,1,0.0,1
485,486,28.0,25.4667,1,3,1,3,2.0,0
486,487,35.0,90.0,1,1,0,1,2.0,1
487,488,58.0,29.7,0,0,0,1,0.0,0
488,489,30.0,8.05,0,0,0,3,2.0,0
489,490,9.0,15.9,0,1,1,3,2.0,1
490,491,28.0,19.9667,0,1,0,3,2.0,0
491,492,21.0,7.25,0,0,0,3,2.0,0
492,493,55.0,30.5,0,0,0,1,2.0,0
493,494,71.0,49.5042,0,0,0,1,0.0,0
494,495,21.0,8.05,0,0,0,3,2.0,0
495,496,28.0,14.4583,0,0,0,3,0.0,0
496,497,54.0,78.2667,1,1,0,1,0.0,1
497,498,28.0,15.1,0,0,0,3,2.0,0
498,499,25.0,151.55,1,1,2,1,2.0,0
499,500,24.0,7.7958,0,0,0,3,2.0,0
500,501,17.0,8.6625,0,0,0,3,2.0,0
501,502,21.0,7.75,1,0,0,3,1.0,0
502,503,28.0,7.6292,1,0,0,3,1.0,0
503,504,37.0,9.5875,1,0,0,3,2.0,0
504,505,16.0,86.5,1,0,0,1,2.0,1
505,506,18.0,108.9,0,1,0,1,0.0,0
506,507,33.0,26.0,1,0,2,2,2.0,1
507,508,28.0,26.55,0,0,0,1,2.0,1
508,509,28.0,22.525,0,0,0,3,2.0,0
509,510,26.0,56.4958,0,0,0,3,2.0,1
510,511,29.0,7.75,0,0,0,3,1.0,1
511,512,28.0,8.05,0,0,0,3,2.0,0
512,513,36.0,26.2875,0,0,0,1,2.0,1
513,514,54.0,59.4,1,1,0,1,0.0,1
514,515,24.0,7.4958,0,0,0,3,2.0,0
515,516,47.0,34.0208,0,0,0,1,2.0,0
516,517,34.0,10.5,1,0,0,2,2.0,1
517,518,28.0,24.15,0,0,0,3,1.0,0
518,519,36.0,26.0,1,1,0,2,2.0,1
519,520,32.0,7.8958,0,0,0,3,2.0,0
520,521,30.0,93.5,1,0,0,1,2.0,1
521,522,22.0,7.8958,0,0,0,3,2.0,0
522,523,28.0,7.225,0,0,0,3,0.0,0
523,524,44.0,57.9792,1,0,1,1,0.0,1
524,525,28.0,7.2292,0,0,0,3,0.0,0
525,526,40.5,7.75,0,0,0,3,1.0,0
526,527,50.0,10.5,1,0,0,2,2.0,1
527,528,28.0,221.7792,0,0,0,1,2.0,0
528,529,39.0,7.925,0,0,0,3,2.0,0
